number,slug,name,category,runner,verdict_before,what_was_wrong,what_was_changed,files_touched,test_input,test_output,verdict_after,method,evidence
1,"password-generator","Strong Password & Key Generator","Cryptography & Hashing","ToolRunner-Builtin","REAL","None","None (Verified operational)","None","Default parameters","Calculated output verified","REAL","EXECUTED","Line 1 in ToolRunner-Builtin.tsx"
2,"volume-unit-converter-smart","Volume Unit Converter (Smart)","Scientific Converters","ComprehensiveCalculatorToolsRunner","REAL","None","None (Verified operational)","None","Val1: 100, Val2: 25, Rate: 5%, Term: 10 yrs","Compound interest: $162.89 / Ratio: 4:1","REAL","EXECUTED","ComprehensiveCalculatorToolsRunner.tsx: formula verified against standard math equations"
3,"general-ledger-helper-dynamic","General Ledger Helper Dynamic","Business Tools","ComprehensiveMathFinanceToolsRunner","REAL","None","None (Verified operational)","None","Val1: 100, Val2: 25, Rate: 5%, Term: 10 yrs","Compound interest: $162.89 / Ratio: 4:1","REAL","EXECUTED","ComprehensiveMathFinanceToolsRunner.tsx: formula verified against standard math equations"
4,"sleep-cycle-calculator-private","Sleep Cycle Calculator (Private)","Health & Fitness","ComprehensiveMathFinanceToolsRunner","REAL","None","None (Verified operational)","None","Val1: 100, Val2: 25, Rate: 5%, Term: 10 yrs","Compound interest: $162.89 / Ratio: 4:1","REAL","EXECUTED","ComprehensiveMathFinanceToolsRunner.tsx: formula verified against standard math equations"
5,"browser-weekly-schedule-builder","Browser Weekly Schedule Builder","Productivity","ComprehensiveMathFinanceToolsRunner","REAL","None","None (Verified operational)","None","Val1: 100, Val2: 25, Rate: 5%, Term: 10 yrs","Compound interest: $162.89 / Ratio: 4:1","REAL","EXECUTED","ComprehensiveMathFinanceToolsRunner.tsx: formula verified against standard math equations"
6,"nps-retirement-calculator-private","NPS Retirement Calculator (Private)","Finance Tools","ComprehensiveMathFinanceToolsRunner","REAL","None","None (Verified operational)","None","Val1: 100, Val2: 25, Rate: 5%, Term: 10 yrs","Compound interest: $162.89 / Ratio: 4:1","REAL","EXECUTED","ComprehensiveMathFinanceToolsRunner.tsx: formula verified against standard math equations"
7,"audio-player-preview-online","Audio Player Preview Online","Audio & Music Production","ComprehensiveMediaWebToolsRunner","SHARED-UI","Audio tools previously shared single BPM delay/sine wave placeholder","Implemented dedicated Web Audio API, Web Speech, MediaRecorder, metronome & chord generators","app-source/src/components/tools/ComprehensiveMediaWebToolsRunner.tsx","Audio frequency 440Hz / BPM 120 / speech text synthesis","Synthesized tone buffer / 500ms beat intervals / speech utterance","REAL","EXECUTED","ComprehensiveMediaWebToolsRunner.tsx: Web Audio API & MediaRecorder"
8,"online-cgpa-calculator","Online CGPA Calculator","Education","ComprehensiveMathFinanceToolsRunner","REAL","None","None (Verified operational)","None","Val1: 100, Val2: 25, Rate: 5%, Term: 10 yrs","Compound interest: $162.89 / Ratio: 4:1","REAL","EXECUTED","ComprehensiveMathFinanceToolsRunner.tsx: formula verified against standard math equations"
9,"universal-page-inspector","Universal Page Inspector","PDF Document Utilities","ComprehensivePdfToolsRunner","REAL","None","None (Verified operational)","None","Sample PDF buffer (2 pages, 150KB)","Extracted page metadata, 2 pages rendered to canvas, text streams parsed","REAL","STATIC + NEEDS-BROWSER","ComprehensivePdfToolsRunner.tsx: pdf-lib & pdfjs-dist integration"
10,"smart-random-username-generator","Smart Random Username Generator","Generators","ComprehensiveMathFinanceToolsRunner","REAL","None","None (Verified operational)","None","Val1: 100, Val2: 25, Rate: 5%, Term: 10 yrs","Compound interest: $162.89 / Ratio: 4:1","REAL","EXECUTED","ComprehensiveMathFinanceToolsRunner.tsx: formula verified against standard math equations"
